id,word,meaning_en,meaning_kr,english_form,eng_def,sentence_kr,sentence_en,level,level_label,dict_level,pos,dict_pos,has_entry
1140,누나,Older sister,남자가 형제나 친척 형제들 중에서 자기보다 나이가 많은 여자를 이르거나 부르는 말.,elder sister,A word used by a male to refer to or address his female siblings or cousins older than himself.,내가 열세 살이 되자 세 살 위인 누나와 키가 비슷해졌다.,,A,Beginner,초급,1,명사,1
1141,신,God,서거나 걸을 때 발을 보호하기 위해 신는 물건.,shoes; footwear,An object that one wears in order to protect one's feet when standing or walking.,승규는 선물로 받은 신이 너무 커서 한 치수 작은 이백칠십 밀리미터짜리로 교환했다.,,C,Advanced,중급,1,명사,1
1142,왕,King,왕위가 이어지는 나라에서 나라를 다스리는 사람.,king; male monarch,A king who is a ruler of a country where the crown is passed down from one to another member of the royal family.,왕이 죽자 왕자가 왕의 자리에 올랐다.,,B,Intermediate,초급,1,명사,1
1143,점점,"More and more, by degrees",시간이 지남에 따라 정도가 조금씩 더.,gradually,Little by little as times goes by.,유민이는 일주일째 먹고 있는 반찬이 점점 싫증이 났다.,,B,Intermediate,초급,3,부사,1
1144,질문,"A question, a query",모르는 것이나 알고 싶은 것을 물음.,question,An act of asking something one does not know or wants to know. ,선생님은 학생들의 질문에 친절하게 대답해 주었다.,,A,Beginner,초급,1,명사,1
1145,특별,"Be special, extraordinary",보통과 차이가 나게 다름.,being special,"The state of something being different from what is normal, with a noticeable gap.",환갑을 맞아 유명 작가의 특별 전시회가 열린다고 한다.,,B,Intermediate,고급,1,명사,1
1146,판단,"A judgment, a conclusion",논리나 기준에 따라 어떠한 것에 대한 생각을 정함.,judgment; decision ,"The state of fixing a thought on something, according to a certain logic or standard.",승규는 누구의 말을 듣는 것이 좋을지 아직 판단을 내리지 못했다.,,B,Intermediate,중급,1,명사,1
1147,해결하다,"To fix a problem, solve a question","사건이나 문제, 일 등을 잘 처리해 끝을 내다.",solve; settle; resolve; fix,"To handle and finish an event, problem, or task, etc., successfully.",노사는 협상을 통해 임금 인상에 관련된 갈등을 해결하는 데 성공했다.,,B,Intermediate,,2,동사,1
1148,거리,Distance,사람이나 차들이 다니는 길.,street; road; avenue,"A road, street, etc., for pedestrians or cars.",날씨가 추워서 그런지 거리가 한산했다.,,C,Advanced,초급,1,명사,1
1149,계속하다,To continue,끊지 않고 이어 나가다.,continue,To keep doing something without interruption.,동생은 몸이 아픔에도 불구하고 노래 연습을 계속했다.,,B,Intermediate,,2,동사,1
1150,그치다,Stop or  cease or  halt,"계속되던 일, 움직임, 현상 등이 계속되지 않고 멈추다.",stop,"For a continuing matter, movement, phenomenon, etc., to cease.",다행히 오전에 비가 그쳐 우리는 늦게나마 소풍을 갈 수 있었다.,,B,Intermediate,초급,2,동사,1
1151,근처,Nearby or  the vicinity,"어떤 장소나 물건, 사람을 중심으로 하여 가까운 곳.",vicinity; neighborhood,"A spot close to a certain place, object, or a person.",학교 근처에는 문구점과 서점이 있습니다.,,A,Beginner,초급,1,명사,1
1152,너무나,Extremely,(강조하는 말로) 너무.,too; excessively,(emphasizing form) Very.,아기를 안은 어머니의 모습이 너무나 행복해 보였다.,,B,Intermediate,중급,3,부사,1
1153,높이다,"Raise, elevate",아래에서 위까지의 길이를 길게 하다.,make higher,To make the length from bottom to top be longer.,심한 다툼을 한 두 집은 담장을 높이고 서로 원수처럼 지냈다.,,B,Intermediate,중급,2,동사,1
1154,부정,"injustice,wrongfulness",옳지 않음. 또는 그런 행위.,unlawfulness; illegitimacy,Irregularity; an irregular act. ,선거 운동 중에 일어나는 부정을 방지하기 위해 법을 새로 제정하였다.,,C,Advanced,중급,1,명사,1
1155,사정,Circumstances,일의 형편이나 이유.,situation; circumstances,The situation or reason for an incident.,자세한 부분은 사정을 봐 가며 결정하는 것이 좋다.,,C,Advanced,중급,1,명사,1
1158,도대체,"In the world, on earth",다른 말은 다 빼고 요점만 말하면.,come to the point,"Only touching on key points, leaving out unnecessary things.",도대체 지금 무슨 이야기를 하시는 거예요?,,C,Advanced,중급,3,부사,1
1159,막,"Carelessly, at random",바로 지금.,just	,Right now.,오래도록 기다렸던 소포가 지금 막 도착했다.,,B,Intermediate,중급,3,부사,1
1160,부모님,Parents,(높이는 말로) 부모.,parents,"(polite form) Someone's parents, including one's own.",우리 형제들은 여름휴가를 부모님이 계시는 시골에서 보낸다.,,A,Beginner,초급,1,명사,1
1161,수출,Exporting sth,국내의 상품이나 기술을 외국으로 팔아 내보냄.,export,The act of selling a domestic product or technology to a foreign country.,해외 시장에서 우리나라의 자동차 경쟁력이 높아지면서 급속한 수출 신장을 보이고 있다.,,B,Intermediate,중급,1,명사,1
1163,계시다,(someone esteemed) to stay or  be located,(높임말로) 높은 분이나 어른이 어느 곳에 살다.,live,(honorific) For one's senior or superior to live somewhere.,나는 고향에 계신 할머니께 전화를 드렸다.,,A,Beginner,초급,2,동사,1
1164,그,That,말하는 사람과 듣는 사람이 아닌 사람을 가리키는 말.,(no equivalent expression),A pronoun used to indicate people who are not the speaker or listener.,그는 그녀가 두고 간 손수건을 손에 꼭 쥐었다.,,A,Beginner,초급,10,대명사,1
1166,자르다,"cut,chop",물체를 베거나 동강을 내어 일부를 끊어 내다.,cut; sever; chop,To cut off a part by cutting or breaking something into two or more pieces.,어머니는 김치를 먹기 좋게 잘라 접시에 내셨다.,,B,Intermediate,초급,2,동사,1
1167,데리다,Be accompanied by,어떤 사람이나 동물을 자기와 함께 있게 하다.,bring with,To make a person or animal stay together.,여자는 병원에 아픈 아이를 데리고 왔다.,,B,Intermediate,중급,2,동사,1
1168,마리,Number of animals,"짐승이나 물고기, 벌레 등을 세는 단위.",mari,"A bound noun that serves as a unit for counting the number of animals, fish, bugs, etc.",아버지는 시장에서 갈치 두 마리를 사오셨다.,,A,Beginner,초급,5,의존 명사,1
1169,무척,Extremely,"다른 것과 비교할 수 없을 만큼, 매우, 아주, 대단히.",very; extremely,"Very, extremely, exceedingly so that it is not comparable to any other.",애인과 헤어진 그는 요즘 무척 우울한 상태이다.,,B,Intermediate,초급,3,부사,1
